category_id,category_name,likes_mean,likes_median,views_mean,views_median,dislikes_mean,dislikes_median,count
1,Film & Animation,29259,6686,927530,337576,914,265,288
2,Autos & Vehicles,5999,2018,317363,150609,385,100,62
10,Music,98574,20118,1280323,314917,2149,324,650
15,Pets & Animals,10728,7428,260565,152954,191,108,123
17,Sports,18473,3561,836628,300075,1085,173,424
19,Travel & Events,5865,4174,252871,200068,258,94,57
20,Gaming,47669,22364,1145859,609482,3861,692,88
22,People & Blogs,31424,9034,676053,221797,1612,193,455
23,Comedy,38266,16849,767388,478551,1032,440,500
24,Entertainment,27883,7567,837010,337908,1934,267,1525
25,News & Politics,3811,723,248338,84428,947,167,495
26,Howto & Style,24290,11421,483064,247003,621,234,564
27,Education,15555,9785,348451,228031,427,203,234
28,Science & Technology,18470,8361,608801,237087,827,216,335
29,Nonprofits & Activism,91431,686,674919,23866,11450,33,13
43,Unknown,11786,11114,392359,383648,254,245,4
