,importance
channel_enc,543
log_views,529
log_comment,485
dislikes_per_view,346
comment_per_view,324
comment_per_dislike,276
title_upper_ratio,236
dislike_per_comment,225
text_svd_99,208
text_svd_235,189
text_svd_98,183
text_svd_91,181
text_svd_96,180
desc_len,178
text_svd_54,178
text_svd_88,176
text_svd_90,176
text_svd_69,175
text_svd_89,171
text_svd_87,171
text_svd_188,170
text_svd_48,169
text_svd_94,168
text_svd_73,168
text_svd_104,166
text_svd_238,164
text_svd_40,164
text_svd_161,162
text_svd_160,162
text_svd_153,161
text_svd_239,160
text_svd_32,160
text_svd_55,160
text_svd_82,158
text_svd_53,158
text_svd_158,157
text_svd_58,157
text_svd_232,157
text_svd_231,157
days_to_trend,157
text_svd_226,157
text_svd_164,156
text_svd_97,156
text_svd_92,156
text_svd_79,156
text_svd_84,155
text_svd_142,155
text_svd_74,154
text_svd_156,153
text_svd_221,153
text_svd_67,153
text_svd_86,153
text_svd_228,153
text_svd_15,153
text_svd_233,153
text_svd_22,151
text_svd_41,151
text_svd_122,151
text_svd_230,151
text_svd_66,151
text_svd_43,151
text_svd_184,150
text_svd_14,150
text_svd_147,150
text_svd_71,149
text_svd_57,149
text_svd_219,149
text_svd_49,149
text_svd_213,149
text_svd_193,149
log_dislikes,148
text_svd_17,148
text_svd_85,148
text_svd_75,148
text_svd_148,147
text_svd_81,147
text_svd_111,147
text_svd_42,146
text_svd_20,146
text_svd_95,145
text_svd_21,145
text_svd_222,145
text_svd_186,145
text_svd_62,145
text_svd_157,144
text_svd_159,144
text_svd_218,144
text_svd_59,144
text_svd_8,144
text_svd_236,144
text_svd_6,144
text_svd_25,143
text_svd_56,143
text_svd_50,143
text_svd_216,143
text_svd_83,142
text_svd_80,140
text_svd_51,140
text_svd_155,140
text_svd_234,140
text_svd_229,139
text_svd_197,139
text_svd_139,139
text_svd_93,139
title_len,138
text_svd_202,138
text_svd_225,138
text_svd_72,138
text_svd_134,137
text_svd_152,137
text_svd_210,137
text_svd_191,137
log_views_x_dislikes,137
text_svd_103,136
text_svd_29,136
text_svd_19,136
text_svd_78,136
text_svd_9,135
text_svd_167,135
text_svd_100,135
text_svd_44,134
text_svd_0,134
text_svd_47,134
text_svd_185,134
text_svd_13,133
text_svd_119,133
text_svd_207,133
text_svd_64,133
text_svd_16,133
text_svd_77,133
text_svd_23,133
text_svd_146,133
text_svd_208,132
text_svd_172,131
text_svd_117,131
text_svd_121,131
text_svd_200,131
text_svd_101,131
text_svd_70,131
text_svd_68,131
text_svd_196,131
text_svd_60,131
text_svd_102,130
text_svd_145,130
text_svd_192,130
text_svd_52,130
text_svd_38,130
text_svd_39,130
text_svd_151,129
text_svd_135,129
text_svd_171,129
text_svd_190,129
text_svd_46,128
text_svd_30,128
text_svd_211,128
text_svd_224,127
text_svd_124,127
text_svd_37,127
text_svd_35,127
text_svd_198,127
text_svd_168,126
log_comment_x_dislikes,126
text_svd_215,125
text_svd_199,125
text_svd_106,125
text_svd_61,125
text_svd_5,125
text_svd_130,125
text_svd_120,125
text_svd_175,124
text_svd_131,124
text_svd_125,124
text_svd_220,124
text_svd_128,124
text_svd_45,124
text_svd_118,124
text_svd_178,123
text_svd_176,123
text_svd_1,123
text_svd_182,123
text_svd_18,123
text_svd_2,123
text_svd_189,123
text_svd_144,123
text_svd_205,123
text_svd_137,122
text_svd_31,122
text_svd_132,122
text_svd_7,122
text_svd_166,122
text_svd_141,121
text_svd_112,120
text_svd_154,120
text_svd_162,119
text_svd_65,119
text_svd_201,119
text_svd_187,118
text_svd_138,118
text_svd_203,118
text_svd_212,118
text_svd_12,118
text_svd_163,118
text_svd_28,117
text_svd_3,116
text_svd_11,116
text_svd_181,116
tag_count,116
text_svd_183,116
text_svd_114,115
text_svd_227,115
text_svd_140,115
text_svd_126,115
text_svd_194,115
text_svd_34,114
text_svd_24,114
text_svd_195,114
text_svd_115,114
text_svd_113,114
text_svd_214,114
text_svd_27,113
text_svd_10,113
text_svd_169,113
text_svd_174,113
text_svd_4,112
text_svd_217,112
text_svd_237,111
text_svd_76,111
text_svd_180,111
text_svd_123,110
text_svd_136,110
text_svd_36,109
text_svd_165,109
log_views_sq,108
text_svd_63,107
text_svd_206,107
text_svd_26,106
text_svd_149,106
text_svd_150,105
text_svd_127,105
text_svd_209,105
text_svd_33,104
text_svd_133,103
text_svd_110,103
text_svd_170,103
text_svd_109,103
pub_hour_sin,102
text_svd_129,102
text_svd_223,102
text_svd_204,101
text_svd_179,101
text_svd_143,99
text_svd_105,99
text_svd_108,94
text_svd_116,91
text_svd_177,91
text_svd_107,89
text_svd_173,88
pub_hour_cos,75
category_id,63
pub_dow_sin,62
pub_month_sin,62
title_words,53
desc_url_count,49
pub_month_cos,48
pub_dow_cos,32
title_has_digit,23
title_quest,18
comments_disabled,7
title_excl,6
title_emoji,6
video_error_or_removed,0
