feature,importance
comment_count,0.6233743956776066
dislikes,0.19521812929945867
views,0.13717136124059143
category_25,0.01800080773613309
category_17,0.006538070566163425
category_10,0.006514003305202664
category_24,0.0035385430801049894
category_26,0.0016589732567333661
category_23,0.001644453113298726
category_22,0.0015145455763745765
category_28,0.001119234702614954
category_1,0.001042027276186935
category_2,0.000757926607134578
category_27,0.0005302942107062261
category_20,0.0004914752330748412
category_15,0.00046704206723322005
category_19,0.00031115322833343
category_29,7.049317957963529e-05
category_43,3.7070643468657205e-05
